ID,YearBirth,Education,MaritalStatus, Income ,KidHome,TeenHome,CustomerEnroll,DaysLastPurchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
387,1976,Basic,Married,7500,0,0,11/13/2012,59,6.00,16.00,11.00,11.00,1.00,16.00,1,2,0,3,8,0,0,0,0,0,0,0,USA
10710,1979,Graduation,Married,7500,0,1,8/29/2012,61,5.00,2.00,3.00,3.00,0.00,5.00,1,1,0,2,8,0,0,0,0,0,0,0,Spain
4136,1992,Basic,Single,7500,1,0,12/3/2012,63,10.00,17.00,18.00,8.00,26.00,40.00,4,3,2,2,9,0,0,0,0,0,0,0,Spain
9553,1987,Graduation,Married,7500,0,0,1/9/2013,94,0.00,2.00,3.00,4.00,1.00,5.00,1,0,0,3,6,0,0,0,0,0,0,0,India
456,1986,2n Cycle,Married,7500,1,0,2/7/2013,96,1.00,11.00,5.00,4.00,6.00,9.00,2,2,0,3,8,0,0,0,0,0,0,0,Spain
10001,1985,2n Cycle,Together,7500,1,0,8/1/2012,98,5.00,17.00,17.00,13.00,14.00,34.00,4,2,1,3,9,0,0,0,0,0,0,0,Spain
10749,1991,Graduation,Single,8028,0,0,9/18/2012,62,73.00,18.00,66.00,7.00,12.00,2.00,15,0,1,0,19,0,0,0,0,0,0,0,Spain
2980,1952,Master,Single,8820,1,1,3/22/2013,52,12.00,0.00,13.00,4.00,2.00,4.00,4,3,0,3,8,0,0,0,0,0,0,0,Canada
10395,1986,Basic,Single,8940,1,0,8/22/2012,25,1.00,45.00,3.00,4.00,6.00,42.00,3,3,1,3,8,0,0,0,0,0,0,0,Spain
451,1989,Graduation,Single,9255,1,0,12/20/2013,91,9.00,0.00,7.00,2.00,0.00,4.00,1,1,1,2,8,0,0,0,0,0,0,0,India
5342,1976,Basic,Divorced,9548,1,0,8/8/2012,31,0.00,1.00,3.00,10.00,6.00,9.00,2,1,0,3,8,0,0,0,0,0,0,0,Canada
7349,1973,Basic,Together,9722,1,0,10/2/2012,7,6.00,17.00,16.00,6.00,16.00,42.00,4,3,1,3,8,0,0,0,0,0,1,0,Spain
948,1971,Graduation,Single,10245,1,0,5/15/2013,32,4.00,7.00,7.00,6.00,4.00,13.00,3,1,2,2,5,0,0,0,0,0,0,0,Spain
5987,1989,2n Cycle,Together,10404,1,0,5/4/2014,52,2.00,2.00,11.00,10.00,6.00,12.00,2,1,0,4,5,0,0,0,0,0,0,0,Spain
6864,1989,Master,Divorced,10979,0,0,5/22/2014,34,8.00,4.00,10.00,2.00,2.00,4.00,2,3,0,3,5,0,0,0,0,0,0,0,Australia
10617,1989,Master,Divorced,10979,0,0,5/22/2014,34,8.00,4.00,10.00,2.00,2.00,4.00,2,3,0,3,5,0,0,0,0,0,0,0,Spain
7004,1984,Graduation,Single,11012,1,0,3/16/2013,82,24.00,3.00,26.00,7.00,1.00,23.00,3,3,1,2,9,1,0,0,0,0,0,0,India
10241,1975,2n Cycle,Divorced,11448,0,0,12/15/2013,16,0.00,0.00,0.00,6.00,2.00,6.00,1,1,0,2,6,0,0,0,0,0,0,0,Spain
1773,1978,2n Cycle,Married,12393,0,0,12/4/2012,38,5.00,6.00,15.00,11.00,7.00,13.00,1,2,0,3,9,0,0,0,0,0,0,0,Saudi Arabia
10032,1976,Graduation,Divorced,12571,1,0,1/18/2014,86,3.00,5.00,14.00,2.00,12.00,17.00,4,3,1,3,6,0,0,0,0,0,0,0,Saudi Arabia
9316,1952,Basic,Together,13084,0,0,11/2/2013,29,2.00,0.00,7.00,3.00,7.00,10.00,1,1,0,3,6,0,0,0,0,0,0,0,USA
1160,1970,Graduation,Married,13260,1,1,8/23/2013,48,9.00,4.00,17.00,10.00,2.00,7.00,4,3,0,3,8,0,0,0,0,0,0,0,Spain
8812,1979,2n Cycle,Divorced,13533,1,0,3/10/2013,45,12.00,3.00,8.00,8.00,0.00,17.00,2,2,0,3,7,0,0,0,0,0,0,0,Spain
3641,1976,Graduation,Married,13624,1,0,1/20/2013,93,10.00,2.00,15.00,2.00,1.00,6.00,2,2,0,3,6,0,0,0,0,0,0,0,Spain
4547,1960,Graduation,Together,13672,1,1,4/17/2013,86,6.00,2.00,9.00,2.00,1.00,5.00,2,1,0,3,8,0,0,0,0,0,0,0,Spain
10069,1988,Basic,Together,13724,1,0,8/31/2012,43,2.00,7.00,5.00,2.00,15.00,27.00,1,2,0,2,9,1,0,0,0,0,0,0,Saudi Arabia
3436,1969,Graduation,Married,14045,1,0,1/26/2014,24,11.00,0.00,5.00,2.00,1.00,1.00,1,1,0,3,7,0,0,0,0,0,0,0,Spain
5802,1972,Basic,Married,14188,0,0,2/28/2013,40,2.00,7.00,11.00,16.00,12.00,27.00,1,2,0,4,6,0,0,0,0,0,0,0,Germany
193,1996,Basic,Married,14421,0,0,2/17/2014,81,0.00,0.00,2.00,3.00,3.00,8.00,1,1,0,2,5,1,0,0,0,0,0,0,Spain
8213,1980,2n Cycle,Together,14515,1,0,11/9/2012,71,6.00,4.00,9.00,6.00,36.00,35.00,4,2,2,3,7,0,0,0,0,0,1,0,Spain
8162,1956,Master,Together,14661,0,0,1/1/2013,88,4.00,1.00,11.00,6.00,2.00,2.00,1,1,0,3,6,0,0,0,0,0,0,0,Spain
1241,1984,2n Cycle,Married,14796,1,0,9/17/2012,1,13.00,3.00,8.00,7.00,4.00,16.00,2,1,0,3,9,0,0,0,0,0,1,0,Germany
5835,1976,PhD,Divorced,14849,1,0,7/2/2013,39,21.00,2.00,28.00,3.00,2.00,9.00,3,2,0,4,8,0,0,0,0,0,0,0,Spain
8700,1986,Basic,Single,14906,0,0,12/22/2012,86,7.00,7.00,14.00,7.00,16.00,15.00,3,2,1,3,7,0,0,0,0,0,0,0,Saudi Arabia
3850,1963,Basic,Together,14918,0,1,12/7/2012,52,3.00,3.00,3.00,15.00,4.00,15.00,1,1,0,3,6,0,0,0,0,0,0,0,India
9617,1951,Graduation,Single,15033,0,0,4/16/2014,37,0.00,4.00,5.00,6.00,0.00,4.00,1,1,0,3,3,0,0,0,0,0,0,0,Saudi Arabia
3628,1987,Basic,Single,15038,1,0,1/29/2013,93,4.00,8.00,11.00,19.00,12.00,26.00,2,2,1,2,9,0,0,0,0,0,0,0,Spain
3839,1958,Basic,Single,15056,1,1,5/3/2013,76,6.00,12.00,3.00,21.00,6.00,40.00,5,2,2,3,5,0,0,0,0,0,0,0,Spain
10262,1980,Graduation,Married,15072,2,0,5/10/2013,96,8.00,2.00,15.00,0.00,10.00,18.00,4,3,1,3,5,0,0,0,0,0,0,0,India
7600,1992,Basic,Single,15253,1,0,10/28/2013,13,1.00,3.00,3.00,8.00,1.00,13.00,2,1,0,3,7,0,0,0,0,0,0,0,Canada
10264,1979,Graduation,Divorced,15287,1,0,10/10/2012,60,1.00,2.00,8.00,4.00,3.00,13.00,2,1,1,2,7,1,0,0,0,0,1,0,Saudi Arabia
234,1979,Graduation,Divorced,15287,1,0,10/10/2012,60,1.00,2.00,8.00,4.00,3.00,13.00,2,1,1,2,7,1,0,0,0,0,1,0,Spain
8420,1970,2n Cycle,Married,15315,0,0,8/3/2013,27,7.00,4.00,13.00,15.00,8.00,17.00,2,2,0,4,5,0,0,0,0,0,0,0,Spain
10065,1970,2n Cycle,Married,15315,0,0,8/3/2013,27,7.00,4.00,13.00,15.00,8.00,17.00,2,2,0,4,5,0,0,0,0,0,0,0,Spain
6354,1984,Graduation,Together,15345,1,0,8/31/2012,51,5.00,2.00,16.00,3.00,2.00,19.00,2,1,1,2,8,0,0,0,0,0,1,0,Spain
10995,1988,2n Cycle,Married,15716,1,0,11/12/2012,8,16.00,5.00,30.00,8.00,7.00,26.00,3,3,0,4,8,0,0,0,0,0,0,1,Saudi Arabia
4808,1956,Graduation,Married,15759,0,0,9/5/2013,12,1.00,2.00,5.00,6.00,0.00,3.00,1,1,0,2,7,0,0,0,0,0,0,0,Spain
6347,1979,Basic,Single,15862,1,0,6/27/2013,26,1.00,1.00,4.00,11.00,9.00,10.00,1,1,0,3,8,0,0,0,0,0,0,0,Spain
642,1980,Basic,Married,16005,1,0,8/14/2012,69,1.00,3.00,2.00,20.00,30.00,47.00,3,2,1,2,8,0,0,0,0,0,0,0,Canada
5394,1979,Basic,Single,16014,1,1,3/17/2013,42,3.00,9.00,4.00,7.00,8.00,7.00,4,1,1,4,3,0,0,0,0,0,0,0,Spain
7620,1990,Basic,Single,16185,1,0,8/5/2013,71,5.00,11.00,16.00,21.00,8.00,45.00,2,2,2,2,8,0,0,0,0,0,0,0,India
3559,1988,2n Cycle,Married,16248,1,0,5/10/2014,77,12.00,11.00,10.00,3.00,12.00,9.00,3,2,1,3,6,0,0,0,0,0,0,0,India
11010,1984,PhD,Single,16269,1,0,8/30/2013,75,19.00,3.00,18.00,3.00,1.00,0.00,3,3,0,3,8,0,0,0,0,0,0,0,Spain
6646,1984,Graduation,Together,16529,1,0,3/1/2014,23,3.00,0.00,5.00,13.00,0.00,1.00,1,1,0,3,6,0,0,0,0,0,0,0,Canada
10403,1978,Graduation,Together,16531,1,0,6/18/2014,43,2.00,13.00,6.00,7.00,5.00,11.00,3,3,0,3,7,0,0,0,0,0,0,0,Canada
8977,1985,Basic,Single,16581,0,0,1/12/2013,51,1.00,3.00,4.00,2.00,3.00,11.00,1,0,0,3,4,0,0,0,0,0,0,0,Spain
4927,1971,Graduation,Together,16626,2,0,1/15/2014,76,8.00,3.00,22.00,21.00,1.00,13.00,3,3,0,3,9,0,0,0,0,0,0,0,Saudi Arabia
2634,1979,Master,Single,16653,1,0,4/18/2014,10,5.00,7.00,31.00,15.00,4.00,7.00,3,2,1,3,6,0,0,0,0,0,1,0,Spain
3479,1950,Graduation,Single,16813,0,0,7/19/2013,49,4.00,8.00,11.00,12.00,2.00,13.00,1,2,0,3,7,1,0,0,0,0,0,0,Canada
4415,1961,Graduation,Married,16860,1,1,9/12/2012,19,10.00,4.00,4.00,3.00,3.00,14.00,3,1,1,3,7,0,0,0,0,0,0,0,Spain
10031,1976,PhD,Married,16927,1,1,2/10/2013,50,20.00,2.00,23.00,3.00,1.00,4.00,5,3,0,4,8,0,0,0,0,0,0,0,Saudi Arabia
7235,1975,2n Cycle,Married,17003,1,0,12/9/2013,37,2.00,5.00,12.00,4.00,8.00,7.00,3,2,0,4,5,0,0,0,0,0,0,0,Germany
3270,1978,2n Cycle,Together,17117,1,0,1/17/2013,96,12.00,23.00,38.00,30.00,18.00,7.00,4,3,1,3,9,0,0,0,0,0,0,0,Saudi Arabia
1135,1960,Master,Together,17144,1,1,2/15/2014,96,18.00,2.00,19.00,0.00,2.00,6.00,5,3,0,4,7,0,0,0,0,0,0,0,Canada
24,1960,Master,Together,17144,1,1,2/15/2014,96,18.00,2.00,19.00,0.00,2.00,6.00,5,3,0,4,7,0,0,0,0,0,0,0,Saudi Arabia
9481,1976,Graduation,Married,17148,1,0,1/28/2014,80,9.00,9.00,11.00,13.00,10.00,16.00,4,3,1,3,8,0,0,0,0,0,0,0,Canada
1384,1992,Basic,Married,17256,1,0,11/23/2013,10,6.00,4.00,14.00,8.00,8.00,22.00,2,2,1,2,8,1,0,0,0,0,0,0,USA
2569,1987,Graduation,Married,17323,0,0,10/10/2012,38,3.00,14.00,17.00,6.00,1.00,5.00,1,1,0,3,8,0,0,0,0,0,0,0,USA
4240,1978,Graduation,Married,17345,1,0,11/3/2012,79,4.00,9.00,16.00,17.00,0.00,12.00,2,2,1,2,8,0,0,0,0,0,0,0,Spain
4992,1975,Master,Together,17459,1,0,9/19/2013,12,6.00,4.00,16.00,3.00,10.00,30.00,3,3,1,2,7,0,0,0,0,0,1,0,Spain
6516,1989,Basic,Married,17487,1,0,3/18/2013,37,0.00,0.00,1.00,7.00,4.00,6.00,1,1,0,2,7,0,0,0,0,0,0,0,Australia
8625,1976,Graduation,Married,17649,1,0,11/12/2013,70,15.00,1.00,23.00,0.00,5.00,1.00,3,3,0,3,8,0,0,0,0,0,0,0,USA
6742,1979,Graduation,Married,17688,1,0,1/13/2013,82,2.00,2.00,1.00,3.00,1.00,2.00,1,1,0,2,8,0,0,0,0,0,0,1,Spain
5029,1946,Graduation,Married,18100,0,0,8/6/2013,14,3.00,1.00,2.00,4.00,3.00,1.00,1,0,0,3,5,0,0,0,0,0,0,0,Spain
10790,1985,PhD,Married,18169,1,0,2/19/2013,40,9.00,0.00,5.00,0.00,0.00,7.00,1,1,0,2,8,0,0,0,0,0,0,0,Spain
2431,1990,Graduation,Married,18222,0,0,12/31/2012,70,12.00,4.00,19.00,12.00,6.00,14.00,1,2,0,3,8,0,0,0,0,0,0,0,Spain
8369,1987,Graduation,Together,18227,1,0,11/8/2012,21,1.00,2.00,7.00,4.00,3.00,11.00,1,0,1,2,8,0,0,0,0,0,0,0,Spain
3068,1990,Graduation,Married,18351,0,0,10/29/2013,1,1.00,12.00,9.00,0.00,14.00,7.00,1,2,0,3,7,0,0,0,0,0,0,0,Spain
5294,1989,Graduation,Single,18358,1,0,11/20/2013,49,6.00,8.00,19.00,16.00,4.00,4.00,3,3,0,4,7,0,0,0,0,0,0,0,Spain
6398,1974,Basic,Married,18393,1,0,3/29/2014,2,7.00,10.00,13.00,16.00,0.00,4.00,2,3,0,3,8,0,0,0,0,0,0,0,Spain
6528,1982,Master,Together,18492,1,0,6/5/2014,75,2.00,2.00,2.00,2.00,1.00,1.00,1,1,0,2,8,0,0,0,0,0,0,0,Spain
7892,1969,Graduation,Single,18589,0,0,1/2/2013,89,6.00,4.00,25.00,15.00,12.00,13.00,2,2,1,3,7,0,0,0,0,0,0,0,USA
10826,1959,Graduation,Married,18690,0,0,12/28/2012,77,6.00,1.00,7.00,23.00,4.00,19.00,1,1,1,2,8,0,0,0,0,0,0,0,Spain
4086,1959,Graduation,Married,18690,0,0,12/28/2012,77,6.00,1.00,7.00,23.00,4.00,19.00,1,1,1,2,8,0,0,0,0,0,0,0,Germany
10304,1959,Graduation,Married,18690,0,0,12/28/2012,77,6.00,1.00,7.00,23.00,4.00,19.00,1,1,1,2,8,0,0,0,0,0,0,0,Spain
2661,1964,Graduation,Single,18701,1,1,6/4/2013,95,12.00,4.00,2.00,10.00,6.00,10.00,4,2,0,4,5,0,0,0,0,0,0,0,Saudi Arabia
3130,1964,Graduation,Single,18701,1,1,6/4/2013,95,12.00,4.00,2.00,10.00,6.00,10.00,4,2,0,4,5,0,0,0,0,0,0,0,Spain
4055,1992,Basic,Single,18746,1,0,5/29/2014,41,2.00,10.00,11.00,12.00,9.00,20.00,2,3,0,3,6,0,0,0,0,0,0,0,Spain
9668,1971,Graduation,Married,18793,1,0,1/12/2013,14,4.00,16.00,20.00,0.00,17.00,20.00,3,2,0,4,8,0,0,0,0,0,0,0,Saudi Arabia
624,1984,Master,Single,18890,0,0,11/10/2012,5,6.00,4.00,1.00,7.00,2.00,15.00,1,0,1,2,6,1,0,0,0,0,1,0,Saudi Arabia
2253,1990,Graduation,Married,18929,0,0,2/16/2013,15,32.00,0.00,8.00,23.00,4.00,18.00,1,1,0,4,6,0,0,0,0,0,0,0,Spain
2326,1990,Graduation,Married,18929,0,0,2/16/2013,15,32.00,0.00,8.00,23.00,4.00,18.00,1,1,0,4,6,0,0,0,0,0,0,0,Spain
1876,1990,Graduation,Married,18929,0,0,2/16/2013,15,32.00,0.00,8.00,23.00,4.00,18.00,1,1,0,4,6,0,0,0,0,0,0,0,India
6682,1973,Basic,Married,18978,1,0,12/11/2012,41,2.00,8.00,1.00,4.00,7.00,15.00,1,1,0,3,8,0,0,0,0,0,0,0,Spain
4329,1984,PhD,Married,18988,1,0,5/23/2014,43,6.00,0.00,6.00,2.00,1.00,1.00,2,1,0,3,7,0,0,0,0,0,0,0,Australia
5868,1980,Graduation,Married,19107,1,0,8/22/2013,49,2.00,4.00,9.00,10.00,5.00,16.00,2,1,0,3,7,0,0,0,0,0,0,0,Canada
8523,1968,Graduation,Married,19329,1,0,12/14/2013,39,24.00,1.00,16.00,12.00,2.00,5.00,3,4,0,3,8,0,0,0,0,0,0,0,Canada
10432,1974,Graduation,Divorced,19346,1,0,1/30/2014,26,2.00,0.00,9.00,3.00,6.00,2.00,1,1,0,3,8,0,0,0,0,0,0,0,Canada
3102,1981,2n Cycle,Together,19414,1,0,10/16/2013,32,2.00,3.00,12.00,3.00,5.00,7.00,1,1,0,3,8,0,0,0,0,0,0,0,Canada
11121,1981,Graduation,Married,19419,1,0,11/10/2012,76,2.00,14.00,28.00,16.00,3.00,7.00,4,4,0,3,9,0,0,0,0,0,0,0,India
9986,1982,Graduation,Together,19444,1,0,2/22/2014,8,16.00,0.00,23.00,3.00,2.00,10.00,3,4,1,2,7,0,0,0,0,0,1,0,Saudi Arabia
4259,1986,Master,Single,19485,2,0,9/24/2013,80,6.00,0.00,4.00,0.00,0.00,0.00,1,1,0,2,7,0,0,0,0,0,0,0,India
8442,1985,Master,Married,19510,2,0,9/4/2013,63,9.00,0.00,7.00,3.00,4.00,7.00,2,1,0,3,7,0,0,0,0,0,0,0,Canada
9671,1968,Graduation,Married,19514,1,1,1/26/2014,47,14.00,3.00,21.00,2.00,1.00,28.00,4,3,1,2,8,1,0,0,0,0,1,0,Spain
8975,1968,Graduation,Married,19514,1,1,1/26/2014,47,14.00,3.00,21.00,2.00,1.00,28.00,4,3,1,2,8,1,0,0,0,0,0,0,Spain
11114,1970,Graduation,Together,19656,1,0,2/8/2013,94,25.00,4.00,9.00,6.00,8.00,32.00,3,2,1,3,7,0,0,0,0,0,0,0,Spain
3536,1960,Graduation,Together,19740,0,1,3/24/2013,65,7.00,11.00,3.00,10.00,4.00,20.00,2,1,1,3,5,0,0,0,0,0,0,0,India
6504,1975,2n Cycle,Together,19789,1,0,11/20/2013,24,2.00,5.00,9.00,28.00,6.00,28.00,3,2,1,3,5,1,0,0,0,0,0,0,Spain
9543,1985,Graduation,Married,19986,1,0,11/14/2013,74,3.00,6.00,5.00,0.00,2.00,6.00,1,0,0,3,7,0,0,0,0,0,0,0,Spain
7093,1985,Graduation,Married,19986,1,0,11/14/2013,74,3.00,6.00,5.00,0.00,2.00,6.00,1,0,0,3,7,0,0,0,0,0,0,0,Spain
2106,1974,2n Cycle,Married,20130,0,0,3/17/2014,99,0.00,6.00,3.00,7.00,6.00,12.00,1,1,0,3,8,0,0,0,0,0,0,0,Spain
3363,1974,2n Cycle,Married,20130,0,0,3/17/2014,99,0.00,6.00,3.00,7.00,6.00,12.00,1,1,0,3,8,0,0,0,0,0,0,0,Spain
4436,1976,Graduation,Single,20180,0,0,2/20/2013,27,18.00,42.00,24.00,15.00,20.00,18.00,1,2,1,4,7,0,0,0,0,0,0,0,Spain
2929,1976,Graduation,Single,20180,0,0,2/20/2013,27,18.00,42.00,24.00,15.00,20.00,18.00,1,2,1,4,7,0,0,0,0,0,0,0,Spain
4712,1991,2n Cycle,Together,20193,0,0,11/28/2012,18,8.00,8.00,22.00,24.00,11.00,9.00,1,1,1,4,4,0,0,0,0,0,0,0,Spain
5150,1979,Basic,Single,20194,1,0,12/17/2012,64,0.00,4.00,7.00,11.00,10.00,15.00,2,2,0,3,6,0,0,0,0,0,0,0,Spain
4211,1986,Basic,Married,20425,1,0,10/29/2012,5,4.00,12.00,5.00,3.00,16.00,17.00,2,2,0,3,7,0,0,0,0,0,0,0,Canada
1407,1986,Basic,Married,20425,1,0,10/29/2012,5,4.00,12.00,5.00,3.00,16.00,17.00,2,2,0,3,7,0,0,0,0,0,0,0,Germany
4298,1973,PhD,Together,20427,1,0,3/24/2014,63,5.00,0.00,4.00,0.00,0.00,1.00,1,1,0,2,8,0,0,0,0,0,0,0,Spain
2518,1986,2n Cycle,Together,20491,0,0,1/25/2013,16,5.00,4.00,5.00,4.00,2.00,10.00,1,0,1,2,7,0,0,0,0,0,0,0,Germany
9081,1988,Graduation,Single,20518,1,0,5/18/2014,58,4.00,1.00,6.00,4.00,1.00,9.00,1,1,1,2,5,0,0,0,0,0,0,0,Spain
503,1985,Master,Married,20559,1,0,3/12/2013,88,13.00,1.00,29.00,3.00,0.00,7.00,2,2,0,3,8,0,0,0,0,0,0,0,Australia
49,1970,Graduation,Single,20587,1,0,5/11/2014,39,2.00,3.00,6.00,4.00,1.00,9.00,1,1,1,2,7,0,0,0,0,0,0,0,Canada
4973,1970,Graduation,Single,20587,1,0,5/11/2014,39,2.00,3.00,6.00,4.00,1.00,9.00,1,1,1,2,7,0,0,0,0,0,0,0,Canada
793,1973,Graduation,Married,20895,1,0,10/6/2012,24,18.00,3.00,17.00,3.00,0.00,4.00,1,2,0,3,9,0,0,0,0,0,0,0,Australia
3865,1977,2n Cycle,Together,20981,0,0,4/30/2013,14,2.00,12.00,10.00,6.00,13.00,30.00,1,3,1,2,8,0,0,0,0,0,1,0,Canada
5316,1976,Master,Together,21024,0,0,7/4/2013,89,36.00,4.00,18.00,6.00,2.00,18.00,1,2,0,4,7,0,0,0,0,0,0,0,Spain
1458,1982,Master,Married,21059,1,0,1/7/2014,40,8.00,3.00,19.00,3.00,3.00,8.00,3,3,0,3,6,0,0,0,0,0,0,0,Spain
1987,1987,Basic,Single,21063,1,0,9/25/2013,34,1.00,10.00,11.00,19.00,3.00,15.00,2,2,0,3,6,0,0,0,0,0,0,0,Spain
4961,1974,Master,Together,21255,1,0,1/21/2014,56,29.00,0.00,25.00,2.00,2.00,3.00,4,2,1,4,4,0,0,0,0,0,0,0,Spain
4066,1978,2n Cycle,Divorced,21282,1,0,5/11/2014,76,1.00,5.00,8.00,4.00,8.00,20.00,2,2,1,2,6,0,0,0,0,0,0,0,Spain
6770,1985,Graduation,Married,21355,1,0,8/20/2013,5,5.00,13.00,14.00,0.00,5.00,31.00,2,2,1,2,6,1,0,0,0,0,1,0,USA
5585,1972,Graduation,Single,21359,1,0,4/20/2013,1,12.00,2.00,17.00,6.00,1.00,10.00,2,2,0,3,8,0,0,0,0,0,1,0,Canada
5371,1989,Graduation,Single,21474,1,0,4/8/2014,0,6.00,16.00,24.00,11.00,0.00,34.00,2,3,1,2,7,1,0,0,0,0,1,0,Spain
6856,1979,Graduation,Together,21645,1,0,9/3/2012,75,14.00,0.00,23.00,4.00,5.00,19.00,3,3,0,3,9,0,0,0,0,0,1,0,Germany
3623,1976,Graduation,Together,21675,1,0,6/11/2014,55,4.00,0.00,16.00,17.00,4.00,4.00,3,4,0,3,7,0,0,0,0,0,0,0,India
2549,1983,PhD,Together,21840,1,0,7/21/2013,80,17.00,0.00,9.00,0.00,0.00,1.00,1,1,0,3,9,0,0,0,0,0,0,0,Spain
905,1986,Graduation,Divorced,21846,1,0,10/22/2013,38,7.00,17.00,18.00,6.00,10.00,26.00,4,4,0,3,8,0,0,0,0,0,0,0,Saudi Arabia
7141,1986,Master,Single,21888,1,0,12/29/2012,15,88.00,10.00,46.00,2.00,3.00,64.00,4,5,1,2,10,0,0,0,0,0,1,0,Spain
9862,1969,Graduation,Together,21918,1,0,11/14/2013,37,1.00,6.00,7.00,11.00,5.00,3.00,2,2,0,3,6,0,0,0,0,0,0,0,Canada
4328,1986,2n Cycle,Married,21955,1,0,9/7/2013,81,5.00,1.00,7.00,17.00,14.00,11.00,2,2,1,3,6,0,0,0,0,0,0,0,Spain
8430,1957,Graduation,Together,21994,0,1,12/24/2012,4,9.00,0.00,6.00,3.00,1.00,3.00,1,0,0,3,5,0,0,0,0,0,0,0,Australia
8619,1957,Graduation,Together,21994,0,1,12/24/2012,4,9.00,0.00,6.00,3.00,1.00,3.00,1,0,0,3,5,0,0,0,0,0,0,0,Spain
9592,1983,Graduation,Together,22010,1,0,6/30/2013,51,11.00,2.00,9.00,3.00,0.00,8.00,2,2,0,3,8,0,0,0,0,0,0,0,Spain
1143,1972,Graduation,Married,22063,1,0,8/8/2013,43,7.00,10.00,13.00,3.00,11.00,11.00,2,2,0,3,7,0,0,0,0,0,0,0,Canada
4557,1970,Graduation,Together,22070,1,0,10/4/2013,11,10.00,7.00,19.00,8.00,2.00,21.00,2,2,2,2,6,0,0,0,0,0,0,0,Saudi Arabia
7629,1977,Graduation,Married,22108,1,1,5/8/2014,46,5.00,3.00,9.00,6.00,2.00,6.00,2,2,0,3,7,0,0,0,0,0,0,0,Spain
954,1960,Basic,Widow,22123,0,0,3/27/2014,77,3.00,3.00,24.00,34.00,7.00,31.00,1,2,1,3,5,0,0,0,0,0,0,0,Australia
